timestamp					cpu,memory,qps,disk_usage,memory_usage,iops,slow_queries,select_full_join,select_scan,threads_created,aborted_connects,aborted_clients,table_locks_waited,innodb_row_lock_waits,innodb_buffer_pool_read_requests,innodb_buffer_pool_reads,innodb_buffer_pool_write_requests,seconds_behind_master,connections,max_used_connections,qcache_hits,qcache_inserts,qcache_lowmem_prunes,created_tmp_tables,created_tmp_disk_tables,binlog_cache_disk_use,binlog_cache_use,label
2024-12-17 12:34:32.094907,10,1504,2.9555555555555557,8464655.00,8945664,0.19999999999999998,0,0,0.911111111111111,0,0,0,0,0,3.5777777777777775,0,3.1111111111111107,0,0.6666666666666666,0,0,0,0,0.8666666666666666,0.15555555555555553,0,0,0
2024-12-17 12:34:34.081857,10,1504,2.9555555555555553,8464655.00,8945664,0.19999999999999998,0,0,0.911111111111111,0,0,0,0,0,3.5777777777777775,0,3.1111111111111107,0,0.6666666666666666,0,0,0,0,0.8666666666666666,0.15555555555555553,0,0,0
2024-12-17 12:34:36.085836,10,1504,2.9555555555555553,8464655.00,8945664,0.19999999999999998,0,0,0.911111111111111,0,0,0,0,0,3.5777777777777775,0,3.1111111111111107,0,0.6666666666666666,0,0,0,0,0.8666666666666666,0.15555555555555553,0,0,0
2024-12-17 12:34:38.085059,10,1504,2.9555555555555553,8464655.00,8945664,0.19999999999999998,0,0,0.911111111111111,0,0,0,0,0,3.5777777777777775,0,3.1111111111111107,0,0.6666666666666666,0,0,0,0,0.8666666666666666,0.15555555555555553,0,0,0
2024-12-17 12:34:40.088869,10,1504,2.9555555555555553,8448271.00,8945664,0.19999999999999998,0,0,0.911111111111111,0,0,0,0,0,3.5777777777777775,0,3.1111111111111107,0,0.6666666666666666,0,0,0,0,0.8666666666666666,0.15555555555555553,0,0,0
2024-12-17 12:34:42.087160,11,1504,2.9555555555555553,8481039.00,8945664,0.19999999999999998,0,0,0.911111111111111,0,0,0,0,0,3.5777777777777775,0,3.1111111111111107,0,0.6666666666666666,0,0,0,0,0.8666666666666666,0.15555555555555553,0,0,0
2024-12-17 12:34:44.083527,11,1504,2.9555555555555553,8464655.00,8945664,0.19999999999999998,0,0,0.911111111111111,0,0,0,0,0,3.5777777777777775,0,3.1111111111111107,0,0.6666666666666666,0,0,0,0,0.8666666666666666,0.15555555555555553,0,0,0
2024-12-17 12:34:46.096880,11,1504,3.266666666666666,8464655.00,8945664,0.3111111111111111,0,0,1.1777777777777776,0,0,0,0,0,12.111111111111109,0,10.71111111111111,0,0.6888888888888888,0,0,0,0,6.111111111111111,0.5333333333333332,0,0,0
2024-12-17 12:34:48.097430,11,1504,3.2666666666666666,8464655.00,8945664,0.31111111111111106,0,0,1.1777777777777776,0,0,0,0,0,12.111111111111109,0,10.71111111111111,0,0.6888888888888888,0,0,0,0,6.111111111111111,0.5333333333333332,0,0,0
2024-12-17 12:34:50.103149,11,1504,3.266666666666666,8448271.00,8945664,0.31111111111111106,0,0,1.1777777777777776,0,0,0,0,0,12.111111111111109,0,10.71111111111111,0,0.6888888888888888,0,0,0,0,6.111111111111111,0.5333333333333332,0,0,0
2024-12-17 12:34:52.100724,11,1504,3.266666666666666,8464655.00,8945664,0.31111111111111106,0,0,1.1777777777777776,0,0,0,0,0,12.111111111111109,0,10.71111111111111,0,0.6888888888888888,0,0,0,0,6.111111111111111,0.5333333333333332,0,0,0
2024-12-17 12:34:54.098716,11,1504,3.266666666666666,8464655.00,8945664,0.31111111111111106,0,0,1.1777777777777776,0,0,0,0,0,12.111111111111109,0,10.71111111111111,0,0.6888888888888888,0,0,0,0,6.111111111111111,0.5333333333333332,0,0,0
2024-12-17 12:34:56.098836,11,1504,3.266666666666666,8464655.00,8945664,0.31111111111111106,0,0,1.1777777777777776,0,0,0,0,0,12.111111111111109,0,10.71111111111111,0,0.6888888888888888,0,0,0,0,6.111111111111111,0.5333333333333332,0,0,0
2024-12-17 12:34:58.096471,10,1505,3.266666666666666,8481039.00,8945664,0.31111111111111106,0,0,1.1777777777777776,0,0,0,0,0,12.111111111111109,0,10.71111111111111,0,0.6888888888888888,0,0,0,0,6.111111111111111,0.5333333333333332,0,0,0
2024-12-17 12:35:00.085780,10,1505,3.3777777777777773,8464655.00,8945664,0.31111111111111106,0,0,1.3333333333333333,0,0,0,0,0,12.111111111111109,0,10.71111111111111,0,0.6888888888888888,0,0,0,0,6.199999999999999,0.5333333333333332,0,0,0
2024-12-17 12:35:02.100853,10,1505,3.3777777777777773,8448271.00,8945664,0.31111111111111106,0,0,1.3333333333333333,0,0,0,0,0,12.111111111111109,0,10.71111111111111,0,0.6888888888888888,0,0,0,0,6.199999999999999,0.5333333333333332,0,0,0
2024-12-17 12:35:04.100523,10,1505,3.3777777777777773,8464655.00,8945664,0.31111111111111106,0,0,1.3333333333333333,0,0,0,0,0,12.111111111111109,0,10.71111111111111,0,0.6888888888888888,0,0,0,0,6.199999999999999,0.5333333333333332,0,0,0
2024-12-17 12:35:06.102243,10,1505,3.3777777777777773,8448271.00,8945664,0.31111111111111106,0,0,1.3333333333333333,0,0,0,0,0,12.111111111111109,0,10.71111111111111,0,0.6888888888888888,0,0,0,0,6.199999999999999,0.5333333333333332,0,0,0
2024-12-17 12:35:08.099036,10,1505,3.3777777777777773,8481039.00,8945664,0.31111111111111106,0,0,1.3333333333333333,0,0,0,0,0,12.111111111111109,0,10.71111111111111,0,0.6888888888888888,0,0,0,0,6.199999999999999,0.5333333333333332,0,0,0
2024-12-17 12:35:10.088089,10,1505,3.3777777777777773,8464655.00,8945664,0.31111111111111106,0,0,1.3333333333333333,0,0,0,0,0,12.111111111111109,0,10.71111111111111,0,0.6888888888888888,0,0,0,0,6.199999999999999,0.5333333333333332,0,0,0
2024-12-17 12:35:12.085286,9,1505,3.3777777777777773,8464655.00,8945664,0.31111111111111106,0,0,1.3333333333333333,0,0,0,0,0,12.111111111111109,0,10.71111111111111,0,0.6888888888888888,0,0,0,0,6.199999999999999,0.5333333333333332,0,0,0
2024-12-17 12:35:14.100683,9,1505,3.3777777777777773,8464655.00,8945664,0.31111111111111106,0,0,1.3333333333333333,0,0,0,0,0,12.111111111111109,0,10.71111111111111,0,0.6888888888888888,0,0,0,0,6.199999999999999,0.5333333333333332,0,0,0
2024-12-17 12:35:16.088803,9,1505,3.2,8464655.00,8945664,0.31111111111111106,0,0,1.1111111111111112,0,0,0,0,0,11.599999999999998,0,10.266666666666666,0,0.6888888888888888,0,0,0,0,6.022222222222221,0.5111111111111111,0,0,0
2024-12-17 12:35:18.086287,9,1505,3.2,8464655.00,8945664,0.31111111111111106,0,0,1.1111111111111112,0,0,0,0,0,11.599999999999998,0,10.266666666666666,0,0.6888888888888888,0,0,0,0,6.022222222222221,0.5111111111111111,0,0,0
2024-12-17 12:35:20.097128,9,1505,3.1999999999999997,8464655.00,8945664,0.31111111111111106,0,0,1.111111111111111,0,0,0,0,0,11.599999999999998,0,10.266666666666666,0,0.6888888888888888,0,0,0,0,6.022222222222221,0.5111111111111111,0,0,0
2024-12-17 12:35:22.097571,9,1505,3.1999999999999997,8464655.00,8945664,0.31111111111111106,0,0,1.111111111111111,0,0,0,0,0,11.599999999999998,0,10.266666666666666,0,0.6888888888888888,0,0,0,0,6.022222222222221,0.5111111111111111,0,0,0
2024-12-17 12:35:24.084716,9,1505,3.1999999999999997,8464655.00,8945664,0.31111111111111106,0,0,1.111111111111111,0,0,0,0,0,11.599999999999998,0,10.266666666666666,0,0.6888888888888888,0,0,0,0,6.022222222222221,0.5111111111111111,0,0,0
2024-12-17 12:35:26.096411,9,1505,3.1999999999999997,8464655.00,8945664,0.31111111111111106,0,0,1.111111111111111,0,0,0,0,0,11.599999999999998,0,10.266666666666666,0,0.6888888888888888,0,0,0,0,6.022222222222221,0.5111111111111111,0,0,0
2024-12-17 12:35:28.083939,10,1504,3.1999999999999997,8464655.00,8945664,0.31111111111111106,0,0,1.111111111111111,0,0,0,0,0,11.599999999999998,0,10.266666666666666,0,0.6888888888888888,0,0,0,0,6.022222222222221,0.5111111111111111,0,0,0
2024-12-17 12:35:30.099225,10,1504,3.244444444444444,8481039.00,8945664,0.31111111111111106,0,0,1.2444444444444442,0,0,0,0,0,12.111111111111109,0,10.71111111111111,0,0.6888888888888888,0,0,0,0,6.111111111111111,0.5333333333333332,0,0,0
2024-12-17 12:35:32.097288,10,1504,3.2444444444444445,8481039.00,8945664,0.31111111111111106,0,0,1.2444444444444442,0,0,0,0,0,12.111111111111109,0,10.71111111111111,0,0.6888888888888888,0,0,0,0,6.111111111111111,0.5333333333333332,0,0,0
2024-12-17 12:35:34.083645,10,1504,3.244444444444444,8464655.00,8945664,0.31111111111111106,0,0,1.2444444444444442,0,0,0,0,0,12.111111111111109,0,10.71111111111111,0,0.6888888888888888,0,0,0,0,6.111111111111111,0.5333333333333332,0,0,0
2024-12-17 12:35:36.097169,10,1504,3.244444444444444,8448271.00,8945664,0.31111111111111106,0,0,1.2444444444444442,0,0,0,0,0,12.111111111111109,0,10.71111111111111,0,0.6888888888888888,0,0,0,0,6.111111111111111,0.5333333333333332,0,0,0
2024-12-17 12:35:38.098226,10,1504,3.244444444444444,8464655.00,8945664,0.31111111111111106,0,0,1.2444444444444442,0,0,0,0,0,12.111111111111109,0,10.71111111111111,0,0.6888888888888888,0,0,0,0,6.111111111111111,0.5333333333333332,0,0,0
