timestamp					cpu,memory,qps,disk_usage,memory_usage,iops,slow_queries,select_full_join,select_scan,threads_created,aborted_connects,aborted_clients,table_locks_waited,innodb_row_lock_waits,innodb_buffer_pool_read_requests,innodb_buffer_pool_reads,innodb_buffer_pool_write_requests,seconds_behind_master,connections,max_used_connections,qcache_hits,qcache_inserts,qcache_lowmem_prunes,created_tmp_tables,created_tmp_disk_tables,binlog_cache_disk_use,binlog_cache_use,label
2024-12-17 12:34:32.094907,10,1131,2.9999999999999996,8464655.00,8683520,0.19999999999999998,0,0,0.9777777777777776,0,0,0,0,0,3.0666666666666664,0,2.6666666666666665,0,0.6444444444444444,0,0,0,0,0.8888888888888888,0.1333333333333333,0,0,0
2024-12-17 12:34:34.081857,10,1131,3,8464655.00,8683520,0.19999999999999998,0,0,0.9777777777777779,0,0,0,0,0,3.0666666666666664,0,2.6666666666666665,0,0.6444444444444444,0,0,0,0,0.8888888888888888,0.1333333333333333,0,0,0
2024-12-17 12:34:36.085836,10,1131,2.9999999999999996,8464655.00,8683520,0.19999999999999998,0,0,0.9777777777777776,0,0,0,0,0,3.0666666666666664,0,2.6666666666666665,0,0.6444444444444444,0,0,0,0,0.8888888888888888,0.1333333333333333,0,0,0
2024-12-17 12:34:38.085059,10,1131,2.9999999999999996,8464655.00,8683520,0.19999999999999998,0,0,0.9777777777777776,0,0,0,0,0,3.0666666666666664,0,2.6666666666666665,0,0.6444444444444444,0,0,0,0,0.8888888888888888,0.1333333333333333,0,0,0
2024-12-17 12:34:40.088869,10,1131,2.9999999999999996,8448271.00,8683520,0.19999999999999998,0,0,0.9777777777777776,0,0,0,0,0,3.0666666666666664,0,2.6666666666666665,0,0.6444444444444444,0,0,0,0,0.8888888888888888,0.1333333333333333,0,0,0
2024-12-17 12:34:42.087160,12,1141,2.9999999999999996,8481039.00,8683520,0.19999999999999998,0,0,0.9777777777777776,0,0,0,0,0,3.0666666666666664,0,2.6666666666666665,0,0.6444444444444444,0,0,0,0,0.8888888888888888,0.1333333333333333,0,0,0
2024-12-17 12:34:44.083527,12,1141,3.2666666666666666,8464655.00,8683520,0.3111111111111111,0,0,1.1555555555555554,0,0,0,0,0,12.11111111111111,0,10.71111111111111,0,0.711111111111111,0,0,0,0,6.088888888888889,0.5333333333333332,0,0,0
2024-12-17 12:34:46.096880,12,1141,3.266666666666666,8464655.00,8683520,0.31111111111111106,0,0,1.1555555555555554,0,0,0,0,0,12.111111111111109,0,10.71111111111111,0,0.711111111111111,0,0,0,0,6.088888888888889,0.5333333333333332,0,0,0
2024-12-17 12:34:48.097430,12,1141,3.266666666666666,8464655.00,8683520,0.31111111111111106,0,0,1.1555555555555554,0,0,0,0,0,12.111111111111109,0,10.71111111111111,0,0.711111111111111,0,0,0,0,6.088888888888889,0.5333333333333332,0,0,0
2024-12-17 12:34:50.103149,12,1141,3.266666666666666,8448271.00,8683520,0.31111111111111106,0,0,1.1555555555555554,0,0,0,0,0,12.111111111111109,0,10.71111111111111,0,0.711111111111111,0,0,0,0,6.088888888888889,0.5333333333333332,0,0,0
